interaction_id,user_id,search_category,recommended_platform,chosen_platform,recommended_price,chosen_price,delivery_time,coupon_used,cashback_used,user_clicked_recommendation,booking_completed,savings_amount,user_rating,timestamp
INT007517,USER00148,Shopping,Amazon,Amazon,39542.83,39542.83,120.0,No,Yes,No,Yes,5507.16,4,2026-03-15 15:37:18
INT007518,USER02074,Medicine,PharmEasy,PharmEasy,60.16,60.16,22.7,Yes,No,Yes,Yes,0.0,4,2026-05-15 02:56:04
INT007519,USER00004,Food,Swiggy,Swiggy,251.77,251.77,0.62,Yes,No,Yes,Yes,114.82,5,2026-07-15 21:47:15
INT007520,USER01152,Food,Zomato,Zomato,57.62,57.62,0.62,No,No,Yes,Yes,13.24,5,2026-06-22 10:22:32
INT007521,USER00491,Medicine,PharmEasy,Netmeds,153.57,153.92,51.3,No,Yes,No,Yes,12.3,3,2026-07-20 02:21:31
INT007522,USER00113,Medicine,Apollo,Apollo,298.79,298.79,0.4,Yes,No,Yes,Yes,0.0,5,2026-05-16 02:23:20
INT007523,USER00009,Food,Zomato,Zomato,168.67,168.67,0.45,No,Yes,No,Yes,13.42,4,2026-06-20 10:17:31
INT007524,USER00809,Shopping,Amazon,Ajio,6324.37,3879.64,24.0,No,No,No,Yes,3893.66,5,2026-07-12 17:24:54
INT007525,USER00778,Shopping,Flipkart,Flipkart,1180.4,1180.4,288.0,Yes,No,Yes,Yes,1345.09,5,2026-07-22 18:14:43
INT007526,USER01872,Ride,Rapido,Ola,123.65,171.64,0.12,No,No,No,No,0.0,2,2026-02-05 03:56:34
INT007527,USER01150,Medicine,PharmEasy,PharmEasy,31.79,31.79,19.0,Yes,No,Yes,Yes,40.67,5,2026-02-27 15:55:15
INT007528,USER02891,Ride,Rapido,Rapido,410.81,410.81,0.05,No,No,Yes,Yes,77.79,3,2026-06-29 13:01:30
INT007529,USER00365,Food,Swiggy,Swiggy,229.24,229.24,0.27,No,No,Yes,Yes,2.22,5,2026-06-23 08:39:31
INT007530,USER00611,Food,Zomato,Zomato,235.41,235.41,0.67,Yes,No,Yes,Yes,14.41,4,2026-03-03 14:42:54
INT007531,USER01538,Food,Swiggy,Swiggy,266.51,266.51,0.68,Yes,No,Yes,Yes,119.67,4,2026-02-22 10:12:24
INT007532,USER02334,Ride,Uber,Uber,97.94,97.94,0.05,Yes,No,Yes,Yes,23.61,4,2026-05-20 19:20:00
INT007533,USER00536,Ride,Uber,Uber,390.01,390.01,0.12,Yes,No,Yes,Yes,5.01,4,2026-07-20 03:47:22
INT007534,USER00051,Shopping,Amazon,Amazon,64892.38,64892.38,24.0,No,No,No,No,27239.75,2,2026-05-27 21:30:02
INT007535,USER01791,Food,Swiggy,Swiggy,378.49,378.49,0.5,No,No,Yes,Yes,106.73,4,2026-06-18 00:29:38
INT007536,USER00973,Medicine,Netmeds,Netmeds,21.59,21.59,30.9,No,No,Yes,Yes,5.27,5,2026-07-26 13:57:20
INT007537,USER00118,Food,Zomato,Zomato,208.35,208.35,0.7,No,No,Yes,Yes,35.41,5,2026-02-16 14:13:25
INT007538,USER01623,Shopping,Flipkart,Flipkart,38576.03,38576.03,48.0,No,No,Yes,Yes,35689.62,4,2026-05-03 20:14:24
INT007539,USER00814,Food,Zomato,Zomato,142.93,142.93,0.43,Yes,No,No,No,46.71,3,2026-02-27 17:41:52
INT007540,USER00015,Shopping,Amazon,Amazon,52860.34,52860.34,48.0,No,Yes,Yes,Yes,2348.21,5,2026-02-01 00:52:39
INT007541,USER00121,Food,Swiggy,Swiggy,449.87,449.87,0.47,No,No,Yes,Yes,0.0,4,2026-05-31 10:27:13
INT007542,USER00001,Shopping,Flipkart,Flipkart,4645.5,4645.5,24.0,No,Yes,No,No,1003.19,3,2026-04-23 13:07:41
INT007543,USER00402,Ride,Ola,Ola,382.56,382.56,0.03,Yes,No,Yes,Yes,36.21,5,2026-06-16 19:27:11
INT007544,USER02801,Medicine,Apollo,PharmEasy,97.99,75.17,39.5,Yes,No,Yes,Yes,22.82,5,2026-04-26 11:44:17
INT007545,USER00044,Medicine,Netmeds,Netmeds,26.96,26.96,21.6,Yes,No,No,Yes,33.93,5,2026-06-21 18:03:56
INT007546,USER00204,Medicine,Apollo,Apollo,79.26,79.26,18.4,No,No,No,Yes,19.17,3,2026-03-09 11:58:27
INT007547,USER01112,Shopping,Amazon,Amazon,451.69,451.69,72.0,Yes,No,Yes,Yes,268.82,5,2026-02-21 11:50:40
INT007548,USER00235,Shopping,Amazon,Amazon,61622.74,61622.74,24.0,No,No,No,Yes,9790.4,5,2026-07-08 10:01:20
INT007549,USER00574,Ride,Ola,Ola,100.67,100.67,0.08,No,No,Yes,Yes,26.7,3,2026-02-02 14:08:43
INT007550,USER00236,Ride,Ola,Ola,503.72,503.72,0.17,No,No,Yes,Yes,151.16,3,2026-02-27 17:08:45
INT007551,USER00380,Medicine,Apollo,Apollo,138.71,138.71,3.1,No,Yes,Yes,Yes,8.34,5,2026-02-27 21:35:07
INT007552,USER00056,Shopping,Ajio,Ajio,1008.3,1008.3,24.0,No,No,Yes,Yes,1153.33,4,2026-05-31 10:40:30
INT007553,USER00401,Shopping,Flipkart,Flipkart,1713.67,1713.67,48.0,Yes,No,Yes,Yes,277.97,5,2026-04-12 14:41:32
INT007554,USER00910,Shopping,Amazon,Amazon,2364.88,2364.88,24.0,No,No,No,Yes,2287.1,5,2026-04-04 19:29:02
INT007555,USER00048,Food,Swiggy,Swiggy,364.0,364.0,0.43,Yes,No,Yes,Yes,70.09,5,2026-03-03 12:53:13
INT007556,USER00043,Food,Swiggy,Swiggy,143.17,143.17,0.48,No,No,No,Yes,12.27,4,2026-04-19 14:16:36
INT007557,USER00151,Food,Swiggy,Swiggy,229.8,229.8,0.43,No,No,Yes,Yes,14.1,4,2026-07-25 21:50:17
INT007558,USER02521,Shopping,Amazon,Amazon,15703.44,15703.44,360.0,No,No,No,No,1060.87,2,2026-03-11 05:35:19
INT007559,USER00506,Medicine,Apollo,Apollo,17.67,17.67,8.6,No,No,Yes,Yes,0.0,5,2026-03-22 03:18:26
INT007560,USER00418,Shopping,Flipkart,Flipkart,113865.93,113865.93,120.0,Yes,No,Yes,Yes,9950.91,5,2026-05-04 04:27:56
INT007561,USER01148,Food,Zomato,Swiggy,73.51,94.98,0.57,No,No,No,Yes,0.0,4,2026-07-06 16:35:16
INT007562,USER00018,Food,Zomato,Zomato,233.53,233.53,0.52,No,No,No,Yes,0.0,5,2026-03-03 16:37:19
INT007563,USER02958,Ride,Ola,Ola,316.86,316.86,0.03,Yes,No,Yes,Yes,54.68,5,2026-03-22 17:25:56
INT007564,USER02201,Food,Zomato,Zomato,155.56,155.56,0.63,No,No,Yes,Yes,44.6,5,2026-07-01 17:37:23
INT007565,USER00410,Shopping,Amazon,Amazon,361.0,361.0,24.0,No,No,Yes,Yes,196.16,5,2026-02-04 02:22:00
INT007566,USER01005,Ride,Ola,Ola,45.63,45.63,0.1,Yes,No,Yes,Yes,21.51,3,2026-04-19 08:53:10
INT007567,USER00021,Medicine,Netmeds,Netmeds,291.17,291.17,21.4,No,No,No,Yes,71.1,5,2026-03-23 21:48:08
INT007568,USER00509,Food,Zomato,Zomato,202.91,202.91,0.75,No,Yes,No,Yes,15.29,5,2026-03-14 18:57:31
INT007569,USER01603,Medicine,PharmEasy,Apollo,59.43,84.89,96.6,No,No,No,Yes,21.89,4,2026-04-17 08:21:35
INT007570,USER00005,Shopping,Flipkart,Flipkart,1316.69,1316.69,48.0,No,No,Yes,Yes,48.29,5,2026-04-25 14:51:31
INT007571,USER00012,Shopping,Flipkart,Flipkart,579.8,579.8,120.0,Yes,No,Yes,Yes,335.21,5,2026-06-14 09:00:52
INT007572,USER00269,Shopping,Flipkart,Amazon,2200.96,942.04,48.0,No,No,Yes,Yes,1258.92,5,2026-06-11 17:27:53
INT007573,USER02665,Shopping,Flipkart,Flipkart,97788.68,97788.68,24.0,Yes,No,No,Yes,6547.73,4,2026-03-03 03:10:56
INT007574,USER00559,Shopping,Flipkart,Flipkart,18165.46,18165.46,48.0,No,No,Yes,Yes,10469.29,5,2026-03-04 12:45:33
INT007575,USER00845,Medicine,PharmEasy,PharmEasy,35.83,35.83,24.2,Yes,No,No,Yes,5.76,4,2026-03-13 04:28:46
INT007576,USER00096,Food,Swiggy,Swiggy,234.83,234.83,0.58,No,No,Yes,No,153.89,2,2026-05-19 21:38:46
INT007577,USER00558,Food,Swiggy,Swiggy,351.28,351.28,0.58,Yes,No,Yes,Yes,63.15,5,2026-03-10 12:25:23
INT007578,USER00763,Shopping,Amazon,Amazon,128498.86,128498.86,48.0,No,No,No,Yes,0.0,4,2026-04-10 19:35:13
INT007579,USER00074,Medicine,PharmEasy,PharmEasy,75.87,75.87,30.2,No,No,Yes,Yes,43.22,5,2026-03-21 19:58:36
INT007580,USER00159,Ride,Ola,Ola,521.35,521.35,0.07,No,No,Yes,Yes,180.17,4,2026-06-12 15:19:24
INT007581,USER00357,Medicine,Apollo,Apollo,62.98,62.98,18.0,Yes,No,Yes,Yes,0.0,5,2026-07-03 13:48:33
INT007582,USER00147,Medicine,PharmEasy,PharmEasy,19.25,19.25,19.9,No,Yes,Yes,Yes,6.42,4,2026-03-06 23:42:38
INT007583,USER00007,Medicine,Apollo,Apollo,27.81,27.81,26.2,No,No,Yes,No,0.0,3,2026-06-16 14:29:06
INT007584,USER00360,Ride,Ola,Ola,99.0,99.0,0.02,No,No,Yes,Yes,66.63,5,2026-04-25 12:00:10
INT007585,USER00054,Medicine,Netmeds,Netmeds,94.49,94.49,34.3,No,No,Yes,Yes,15.73,4,2026-06-09 14:08:26
INT007586,USER00165,Medicine,Apollo,Apollo,178.16,178.16,12.3,No,No,Yes,Yes,1.03,4,2026-03-31 12:28:54
INT007587,USER02260,Shopping,Flipkart,Amazon,10443.25,13063.07,96.0,No,No,No,Yes,0.0,4,2026-06-13 23:57:49
INT007588,USER00054,Shopping,Amazon,Flipkart,2644.45,2122.23,168.0,No,No,No,Yes,522.22,4,2026-06-04 08:38:36
INT007589,USER00289,Food,Swiggy,Swiggy,222.72,222.72,0.43,No,No,Yes,Yes,0.0,5,2026-03-04 20:56:37
INT007590,USER01504,Medicine,PharmEasy,PharmEasy,80.72,80.72,30.5,No,No,No,Yes,22.55,5,2026-03-30 15:25:01
INT007591,USER00221,Ride,Uber,Uber,180.11,180.11,0.07,No,Yes,Yes,Yes,43.49,5,2026-05-27 00:08:08
INT007592,USER02885,Shopping,Amazon,Flipkart,293.73,251.69,48.0,No,No,No,Yes,42.04,4,2026-03-04 00:49:26
INT007593,USER00180,Shopping,Flipkart,Flipkart,3341.33,3341.33,48.0,No,No,Yes,No,104.39,2,2026-02-07 04:10:03
INT007594,USER02472,Shopping,Ajio,Ajio,1114.15,1114.15,24.0,No,Yes,No,Yes,518.35,4,2026-04-16 13:17:31
INT007595,USER01082,Shopping,Ajio,Ajio,1888.17,1888.17,96.0,No,Yes,Yes,Yes,522.86,4,2026-03-13 19:05:28
INT007596,USER00701,Shopping,Amazon,Amazon,97472.51,97472.51,48.0,No,No,Yes,Yes,21904.7,5,2026-07-24 03:26:30
INT007597,USER01702,Ride,Rapido,Rapido,768.27,768.27,0.12,Yes,No,No,Yes,99.67,5,2026-06-22 15:35:07
INT007598,USER00019,Shopping,Flipkart,Flipkart,1964.57,1964.57,48.0,Yes,No,No,Yes,0.0,5,2026-03-27 15:04:10
INT007599,USER00369,Shopping,Flipkart,Flipkart,8238.91,8238.91,96.0,Yes,No,No,Yes,3632.52,5,2026-04-01 19:21:14
INT007600,USER00202,Shopping,Amazon,Amazon,59171.43,59171.43,48.0,No,Yes,Yes,Yes,3644.82,5,2026-03-30 16:54:25
INT007601,USER00004,Shopping,Flipkart,Flipkart,50475.18,50475.18,48.0,No,No,Yes,Yes,58110.62,5,2026-06-19 07:57:54
INT007602,USER02258,Food,Zomato,Zomato,150.93,150.93,0.47,No,Yes,Yes,Yes,13.5,5,2026-04-15 05:58:17
INT007603,USER00863,Food,Zomato,Zomato,136.08,136.08,0.55,No,Yes,Yes,Yes,45.11,5,2026-03-17 07:03:02
INT007604,USER01931,Medicine,Apollo,Apollo,87.41,87.41,12.7,No,No,Yes,Yes,29.45,5,2026-05-29 13:56:51
INT007605,USER01615,Food,Swiggy,Swiggy,115.72,115.72,0.42,No,Yes,No,Yes,2.98,5,2026-07-01 11:12:34
INT007606,USER00387,Shopping,Amazon,Amazon,40740.1,40740.1,24.0,No,No,Yes,Yes,3818.47,4,2026-06-12 07:41:41
INT007607,USER02914,Food,Zomato,Zomato,192.8,192.8,0.58,No,No,Yes,Yes,89.05,5,2026-03-11 02:45:49
INT007608,USER00631,Shopping,Amazon,Flipkart,16508.64,16672.57,96.0,No,No,Yes,Yes,0.0,5,2026-05-30 00:28:11
INT007609,USER01315,Food,Swiggy,Swiggy,144.33,144.33,0.62,No,No,No,Yes,45.6,4,2026-05-01 19:29:01
INT007610,USER00027,Food,Swiggy,Swiggy,276.91,276.91,0.62,Yes,No,No,Yes,23.64,5,2026-06-20 04:39:44
INT007611,USER00665,Ride,Rapido,Rapido,187.46,187.46,0.12,No,Yes,Yes,Yes,36.78,3,2026-04-10 19:34:19
INT007612,USER01477,Shopping,Amazon,Amazon,12456.14,12456.14,24.0,No,No,Yes,Yes,16944.37,4,2026-03-21 00:34:49
INT007613,USER02840,Medicine,Netmeds,Netmeds,71.9,71.9,28.0,No,Yes,Yes,Yes,6.43,5,2026-03-06 23:26:37
INT007614,USER00105,Food,Zomato,Zomato,161.2,161.2,0.62,No,Yes,Yes,Yes,9.86,4,2026-04-27 14:07:11
INT007615,USER00048,Shopping,Flipkart,Flipkart,6339.0,6339.0,48.0,No,No,Yes,Yes,1872.03,5,2026-05-19 02:43:19
INT007616,USER00021,Medicine,Netmeds,Netmeds,28.64,28.64,23.3,No,No,No,Yes,6.98,5,2026-05-03 15:47:40
INT007617,USER00006,Shopping,Amazon,Amazon,3147.88,3147.88,120.0,No,No,No,Yes,1068.36,5,2026-02-20 19:58:47
INT007618,USER00782,Ride,Rapido,Rapido,100.77,100.77,0.1,No,No,No,Yes,24.35,5,2026-05-14 05:11:02
INT007619,USER02810,Shopping,Amazon,Amazon,4162.65,4162.65,48.0,Yes,Yes,Yes,Yes,2309.33,4,2026-04-25 05:06:16
INT007620,USER01382,Shopping,Amazon,Amazon,1670.23,1670.23,96.0,No,No,Yes,Yes,1546.35,4,2026-07-06 03:24:21
INT007621,USER02373,Medicine,Apollo,Apollo,78.55,78.55,16.9,No,No,Yes,Yes,0.0,5,2026-06-01 11:32:33
INT007622,USER01319,Food,Swiggy,Zomato,132.55,166.38,0.8,Yes,No,No,Yes,0.0,5,2026-06-21 20:11:12
INT007623,USER00430,Ride,Ola,Ola,208.77,208.77,0.03,No,Yes,No,Yes,74.73,5,2026-05-15 01:13:33
INT007624,USER01278,Food,Zomato,Swiggy,58.73,104.63,0.4,No,No,Yes,Yes,0.0,3,2026-07-09 01:40:41
INT007625,USER00217,Food,Zomato,Zomato,411.51,411.51,0.4,No,No,Yes,Yes,26.64,5,2026-06-21 16:29:15
INT007626,USER00475,Ride,Rapido,Rapido,104.92,104.92,0.12,No,No,Yes,Yes,6.57,5,2026-04-09 08:18:28
INT007627,USER00026,Ride,Ola,Ola,586.43,586.43,0.15,Yes,No,Yes,Yes,250.54,5,2026-03-26 15:12:47
INT007628,USER02263,Ride,Uber,Uber,266.4,266.4,0.05,Yes,No,Yes,Yes,0.22,4,2026-04-30 15:47:50
INT007629,USER00842,Shopping,Flipkart,Amazon,1119.63,1584.82,120.0,No,No,Yes,Yes,414.3,4,2026-02-28 21:24:54
INT007630,USER01567,Shopping,Flipkart,Flipkart,2460.93,2460.93,24.0,Yes,No,Yes,Yes,205.4,5,2026-04-18 11:10:01
INT007631,USER01647,Shopping,Ajio,Ajio,1969.77,1969.77,72.0,Yes,Yes,Yes,Yes,281.09,5,2026-06-01 12:19:28
INT007632,USER00072,Medicine,Apollo,PharmEasy,81.83,66.53,41.8,No,No,No,Yes,15.3,4,2026-07-26 21:06:51
INT007633,USER01256,Medicine,Apollo,Apollo,251.78,251.78,17.1,No,Yes,Yes,Yes,0.0,4,2026-04-01 06:47:08
INT007634,USER00621,Food,Zomato,Zomato,205.25,205.25,0.53,No,No,Yes,Yes,28.37,5,2026-03-29 09:00:14
INT007635,USER00012,Ride,Rapido,Rapido,169.95,169.95,0.03,No,No,Yes,Yes,54.2,5,2026-04-14 21:01:23
INT007636,USER00602,Shopping,Flipkart,Flipkart,9327.1,9327.1,24.0,Yes,No,Yes,Yes,1756.32,4,2026-02-28 07:54:06
INT007637,USER01130,Food,Zomato,Zomato,80.04,80.04,0.62,No,No,No,Yes,11.0,4,2026-04-06 06:22:58
INT007638,USER02101,Medicine,Apollo,Netmeds,83.31,124.45,24.0,No,No,No,Yes,0.0,5,2026-02-07 13:41:04
INT007639,USER02489,Shopping,Ajio,Ajio,4019.21,4019.21,24.0,No,No,Yes,Yes,2829.62,5,2026-05-17 21:16:58
INT007640,USER02987,Medicine,Netmeds,Netmeds,74.91,74.91,38.3,No,No,Yes,Yes,66.14,4,2026-02-18 00:29:48
INT007641,USER01050,Food,Swiggy,Swiggy,231.34,231.34,0.62,Yes,No,Yes,Yes,35.42,4,2026-07-18 22:50:52
INT007642,USER00402,Shopping,Amazon,Amazon,857.66,857.66,24.0,No,No,Yes,Yes,218.93,5,2026-06-09 21:53:51
INT007643,USER00046,Food,Zomato,Zomato,256.34,256.34,0.52,No,No,Yes,Yes,47.52,5,2026-07-13 07:09:52
INT007644,USER00955,Food,Zomato,Zomato,124.5,124.5,0.82,No,No,Yes,Yes,59.45,4,2026-03-15 22:58:08
INT007645,USER02950,Ride,Rapido,Rapido,272.67,272.67,0.1,No,No,Yes,Yes,237.58,4,2026-03-11 20:00:45
INT007646,USER00336,Food,Swiggy,Swiggy,247.43,247.43,0.43,No,No,No,Yes,104.22,5,2026-03-11 19:06:29
INT007647,USER01726,Shopping,Amazon,Amazon,22897.2,22897.2,480.0,No,No,No,Yes,6503.31,5,2026-07-13 07:39:21
INT007648,USER01131,Food,Swiggy,Swiggy,151.06,151.06,0.42,No,No,Yes,Yes,0.0,5,2026-02-28 20:12:15
INT007649,USER01459,Shopping,Amazon,Amazon,1043.66,1043.66,48.0,No,No,No,Yes,602.37,5,2026-05-16 19:51:37
INT007650,USER02494,Shopping,Flipkart,Flipkart,72740.42,72740.42,48.0,Yes,No,Yes,No,35323.62,3,2026-03-03 02:03:25
INT007651,USER00058,Food,Swiggy,Swiggy,186.42,186.42,0.5,No,No,Yes,No,27.15,2,2026-02-12 09:11:36
INT007652,USER02224,Shopping,Ajio,Ajio,565.42,565.42,48.0,Yes,No,No,Yes,398.29,4,2026-07-23 13:42:53
INT007653,USER01509,Ride,Rapido,Rapido,91.51,91.51,0.03,No,No,Yes,Yes,64.26,5,2026-07-29 08:41:19
INT007654,USER01122,Ride,Rapido,Rapido,425.4,425.4,0.15,Yes,No,Yes,Yes,40.89,4,2026-04-11 06:24:32
INT007655,USER01910,Food,Swiggy,Zomato,187.51,272.21,0.9,No,Yes,Yes,Yes,0.0,4,2026-02-15 19:56:31
INT007656,USER01291,Shopping,Flipkart,Flipkart,1935.45,1935.45,24.0,Yes,No,No,Yes,792.49,5,2026-02-06 11:52:43
INT007657,USER02087,Food,Swiggy,Swiggy,377.44,377.44,0.55,Yes,No,Yes,Yes,0.0,5,2026-02-02 08:14:48
INT007658,USER01464,Shopping,Flipkart,Flipkart,700.56,700.56,72.0,Yes,Yes,Yes,No,0.0,2,2026-02-18 18:17:11
INT007659,USER00547,Food,Swiggy,Swiggy,242.75,242.75,0.28,No,Yes,Yes,Yes,65.32,4,2026-03-03 18:21:10
INT007660,USER01463,Food,Swiggy,Swiggy,328.26,328.26,0.63,No,Yes,Yes,Yes,0.0,4,2026-04-04 01:45:53
INT007661,USER02131,Food,Zomato,Zomato,318.79,318.79,0.65,No,Yes,No,Yes,0.0,5,2026-07-31 11:34:56
INT007662,USER01044,Shopping,Ajio,Ajio,1055.42,1055.42,24.0,No,No,Yes,Yes,1109.74,5,2026-02-18 15:51:42
INT007663,USER01133,Food,Zomato,Zomato,263.7,263.7,0.52,No,Yes,Yes,Yes,44.93,5,2026-07-04 03:20:13
INT007664,USER01094,Food,Zomato,Zomato,210.88,210.88,0.63,No,Yes,Yes,Yes,62.91,5,2026-06-23 05:19:10
INT007665,USER02588,Food,Zomato,Zomato,253.03,253.03,0.73,No,No,Yes,Yes,77.23,5,2026-07-26 23:24:35
INT007666,USER00184,Medicine,Apollo,Apollo,20.13,20.13,13.4,No,No,Yes,Yes,3.67,5,2026-03-26 13:46:25
INT007667,USER00476,Shopping,Ajio,Ajio,2901.21,2901.21,24.0,No,Yes,Yes,Yes,593.67,5,2026-06-30 00:32:00
INT007668,USER00397,Food,Swiggy,Zomato,197.65,220.78,0.48,No,No,No,Yes,0.0,4,2026-05-30 11:17:02
INT007669,USER02277,Food,Zomato,Zomato,142.17,142.17,0.2,Yes,No,No,Yes,46.57,5,2026-04-17 00:56:55
INT007670,USER01342,Ride,Rapido,Rapido,551.38,551.38,0.03,Yes,No,Yes,Yes,183.02,4,2026-07-27 09:27:12
INT007671,USER01421,Food,Swiggy,Swiggy,406.36,406.36,0.7,No,Yes,Yes,Yes,211.61,5,2026-04-27 05:07:28
INT007672,USER01590,Ride,Uber,Uber,328.88,328.88,0.08,No,No,Yes,Yes,34.25,4,2026-07-25 11:11:06
INT007673,USER00010,Food,Zomato,Zomato,222.61,222.61,0.4,Yes,No,Yes,Yes,0.0,4,2026-03-29 06:53:29
INT007674,USER00475,Ride,Rapido,Ola,123.65,171.64,0.12,No,Yes,Yes,Yes,0.0,4,2026-02-13 10:50:40
INT007675,USER00143,Food,Zomato,Zomato,233.93,233.93,0.78,Yes,No,Yes,Yes,159.69,4,2026-06-02 00:35:30
INT007676,USER00408,Medicine,Apollo,Apollo,84.59,84.59,0.3,No,No,Yes,Yes,25.53,4,2026-03-13 09:02:41
INT007677,USER00172,Food,Zomato,Zomato,242.81,242.81,0.47,No,No,No,Yes,16.7,5,2026-07-22 19:26:59
INT007678,USER02541,Ride,Rapido,Rapido,234.81,234.81,0.15,No,No,Yes,Yes,19.62,4,2026-04-09 22:19:41
INT007679,USER00125,Food,Zomato,Zomato,133.1,133.1,0.7,Yes,No,Yes,Yes,19.69,5,2026-02-01 05:53:22
INT007680,USER02424,Ride,Ola,Ola,43.88,43.88,0.07,No,Yes,No,Yes,22.51,5,2026-07-21 23:49:52
INT007681,USER00003,Ride,Rapido,Rapido,268.11,268.11,0.05,No,No,Yes,Yes,95.05,4,2026-07-31 14:43:21
INT007682,USER01511,Shopping,Flipkart,Flipkart,25571.36,25571.36,24.0,Yes,No,No,Yes,19946.39,5,2026-03-04 10:17:53
INT007683,USER02866,Shopping,Amazon,Amazon,3587.48,3587.48,24.0,No,No,Yes,Yes,1137.59,4,2026-04-22 00:28:20
INT007684,USER02519,Shopping,Amazon,Amazon,2802.05,2802.05,24.0,No,No,Yes,Yes,1421.14,5,2026-03-28 18:32:42
INT007685,USER00017,Shopping,Amazon,Amazon,118856.07,118856.07,72.0,Yes,No,Yes,Yes,8799.23,4,2026-03-24 20:49:30
INT007686,USER01078,Ride,Rapido,Uber,269.0,357.27,0.02,Yes,No,Yes,Yes,0.0,4,2026-03-21 19:11:54
INT007687,USER00022,Shopping,Amazon,Amazon,2697.28,2697.28,48.0,Yes,No,Yes,Yes,1195.26,5,2026-07-27 05:14:04
INT007688,USER00026,Ride,Rapido,Uber,928.84,1632.78,0.12,No,No,No,Yes,0.0,5,2026-05-15 14:20:11
INT007689,USER00385,Shopping,Flipkart,Flipkart,38648.74,38648.74,48.0,Yes,No,No,Yes,7184.76,5,2026-05-29 23:23:03
INT007690,USER00928,Ride,Rapido,Rapido,76.9,76.9,0.13,No,No,Yes,Yes,6.07,5,2026-05-06 17:41:17
INT007691,USER02340,Shopping,Amazon,Amazon,11644.86,11644.86,96.0,Yes,No,No,Yes,5201.62,4,2026-06-05 07:04:09
INT007692,USER00946,Shopping,Ajio,Ajio,8624.89,8624.89,24.0,No,No,No,No,3817.1,3,2026-06-23 00:05:43
INT007693,USER00008,Food,Zomato,Zomato,286.75,286.75,0.63,No,No,Yes,No,28.7,3,2026-07-18 01:53:58
INT007694,USER00087,Ride,Ola,Ola,357.52,357.52,0.07,Yes,No,Yes,Yes,145.57,5,2026-04-07 03:31:27
INT007695,USER02291,Ride,Rapido,Rapido,94.91,94.91,0.07,No,No,Yes,Yes,58.42,5,2026-06-29 05:34:36
INT007696,USER00549,Food,Zomato,Zomato,124.94,124.94,0.32,No,No,No,Yes,0.0,5,2026-05-04 12:37:11
INT007697,USER00087,Shopping,Amazon,Amazon,1634.91,1634.91,24.0,Yes,Yes,No,Yes,248.82,5,2026-02-06 02:41:46
INT007698,USER00450,Medicine,PharmEasy,PharmEasy,208.47,208.47,27.9,No,No,Yes,Yes,16.77,4,2026-07-05 04:15:09
INT007699,USER00008,Ride,Ola,Ola,318.33,318.33,0.07,No,No,No,Yes,111.08,4,2026-04-28 11:29:41
INT007700,USER01098,Food,Zomato,Swiggy,146.24,230.15,0.6,No,No,No,Yes,0.0,5,2026-03-14 01:54:00
INT007701,USER00160,Ride,Ola,Ola,219.31,219.31,0.12,No,Yes,Yes,Yes,14.07,3,2026-07-16 18:47:16
INT007702,USER01491,Ride,Rapido,Rapido,480.39,480.39,0.1,Yes,No,Yes,Yes,284.13,4,2026-05-25 08:48:16
INT007703,USER00002,Ride,Rapido,Rapido,316.17,316.17,0.03,No,No,Yes,Yes,357.61,5,2026-03-23 22:21:51
INT007704,USER02847,Shopping,Flipkart,Flipkart,736.94,736.94,24.0,No,Yes,Yes,Yes,931.54,5,2026-02-26 11:23:09
INT007705,USER00887,Food,Zomato,Zomato,142.43,142.43,0.73,No,No,Yes,Yes,1.86,4,2026-07-25 20:12:17
INT007706,USER02728,Shopping,Flipkart,Flipkart,5218.29,5218.29,24.0,No,No,Yes,Yes,0.0,5,2026-02-04 23:10:44
INT007707,USER02994,Food,Zomato,Zomato,321.2,321.2,0.63,No,No,Yes,Yes,6.54,5,2026-02-28 03:21:10
INT007708,USER01824,Ride,Uber,Uber,390.01,390.01,0.12,No,No,Yes,Yes,5.01,5,2026-04-23 03:04:49
INT007709,USER01405,Shopping,Flipkart,Flipkart,1753.29,1753.29,48.0,Yes,No,Yes,Yes,1505.79,4,2026-07-22 22:46:46
INT007710,USER01576,Food,Swiggy,Swiggy,128.92,128.92,0.63,No,No,Yes,No,33.87,1,2026-06-28 23:40:39
INT007711,USER00012,Shopping,Flipkart,Flipkart,1038.62,1038.62,24.0,Yes,No,No,Yes,314.98,4,2026-02-07 06:39:26
INT007712,USER00043,Food,Swiggy,Swiggy,221.31,221.31,0.92,No,No,Yes,Yes,3.59,4,2026-04-21 16:22:41
INT007713,USER00354,Ride,Uber,Uber,157.61,157.61,0.07,No,Yes,Yes,No,73.97,2,2026-03-28 13:09:38
INT007714,USER00644,Medicine,Apollo,Apollo,127.58,127.58,11.3,Yes,No,No,Yes,1.37,5,2026-07-16 02:56:57
INT007715,USER00922,Ride,Uber,Uber,402.38,402.38,0.13,No,No,Yes,Yes,4.91,4,2026-03-12 15:18:18
INT007716,USER01099,Food,Swiggy,Swiggy,134.99,134.99,0.45,No,No,Yes,Yes,36.34,4,2026-06-28 12:04:18
INT007717,USER02148,Ride,Ola,Ola,171.81,171.81,0.08,No,No,Yes,Yes,9.84,4,2026-04-15 19:14:05
INT007718,USER00372,Ride,Uber,Uber,378.6,378.6,0.08,Yes,No,Yes,Yes,95.9,5,2026-06-19 05:37:56
